exercise_name_en,exercise_type,body_part,equipment,level,description
Monster Walk,力量训练,Abductors,徒手,Intermediate,
Side Lying Groin Stretch,拉伸,Adductors,徒手,Intermediate,
IT Band and Glute Stretch,拉伸,Abductors,徒手,Intermediate,
Single-leg lying cross-over stretch,拉伸,Abductors,徒手,Beginner,"The single-leg lying cross-over stretch is a simple bodyweight stretch targeting the lower back, hips, and glutes. It involves rotating a single leg over the body while lying flat on the back. It is commonly included in dynamic warm-ups, but can also be performed as full-body mobility work anytime."
Carioca quick step,爆发力训练,Adductors,徒手,Intermediate,"The carioca quick step is a lateral bodyweight exercise targeting the adductors but also promoting agility and overall conditioning. It’s a favorite of football players, particularly defensive backs, because it mimics the way they have to track wide receivers downfield. It can also help mobilize the hips for athletes and lifters of all ability levels."
Standing hip circle,拉伸,Abductors,徒手,Intermediate,"The standing hip circle is a bodyweight exercise targeting the hips and abductor muscles. It is a classic way to ""limber up"" after sitting for a long period or before a lower-body workout or sports. It requires no equipment and can be helpful for everyone from beginners to advanced fitness enthusiasts."
Lateral cone hop,爆发力训练,Adductors,徒手,Intermediate,"The lateral cone hop is an agility drill that involves jumping over cones or other short hurdles side to side rather than front to back. It can be performed for reps or for time and can be beneficial for track athletes, basketball players, or any other athletes who need explosive lateral power."
Side-To-Side Adductor Stretch,力量训练,Adductors,徒手,Intermediate,
Dynamic pigeon stretch,力量训练,Abductors,徒手,Intermediate,"The dynamic pigeon stretch is a lower-body stretch targeting the glutes, hips, and piriformis. It is influenced by the pigeon pose from yoga, but involves moving in and out of the pose. It can be part of a dynamic warm-up or mobility work performed anytime."
Cross-over jack,力量训练,Abductors,徒手,Intermediate,"The cross-over jack is a variation on the jumping jack, a popular calisthenics exercise used to improve overall conditioning. The difference between the jumping jack and the cross-over jack is that with the latter, the feet don't just come together each rep, they cross over each other. It's a great way to add variety to your warm-up or conditioning work."
Traveling thigh killa,力量训练,Abductors,徒手,Intermediate,"The traveling thigh killa is a challenging lower-body bodyweight exercise that builds muscular endurance with a series of hops forward and backward, as well as bodyweight squats. It can be performed for time or reps, usually in a circuit workout or as a lower-body finisher."
FYR Thigh Killa,力量训练,Abductors,徒手,Intermediate,"The thigh killa is a challenging lower-body bodyweight exercise that builds muscular endurance with a series of hops and bodyweight squats. It can be performed for time or reps, usually in a circuit workout or as a lower-body finisher."
HM Straddle Stretch,拉伸,Abductors,徒手,Intermediate,
HM Right Leg Swing,拉伸,Abductors,徒手,Intermediate,
HM Right Side-Kick,拉伸,Abductors,徒手,Intermediate,
HM Frog Stretch,力量训练,Abductors,徒手,Intermediate,
HM Kick-Out,力量训练,Abductors,徒手,Intermediate,
HM Left Leg Swing,力量训练,Adductors,徒手,Intermediate,
UNS Foam Roll Adductor,力量训练,Adductors,徒手,Intermediate,
MetaBurn Groiner,力量训练,Abductors,徒手,Intermediate,
Side-lying leg adduction scissor,力量训练,Adductors,徒手,Intermediate,"The side-lying leg adduction scissor is a dynamic core exercise that combines the isometric hold of a side-lying leg lift with leg adductions to further challenge the core and adductors. It targets multiple muscles of the core, primarily the rectus abdominis or ""six-pack"" muscles. It can be performed for time or reps in the ab-focused portion of any workout."
Groin and Back Stretch,拉伸,Adductors,徒手,Beginner,
Adductor/Groin,拉伸,Adductors,徒手,Beginner,
Incline dumbbell biceps curl,力量训练,Biceps,弹力带,Intermediate,"The incline dumbbell biceps curl is an exercise targeting the biceps and performed face up on an incline bench. This creates a vertical arm angle, which helps to isolate the biceps and limit involvement of the shoulder muscles. This curl variation is usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of upper-body or arm-focused training."
Banded biceps curl in squat position,力量训练,Biceps,弹力带,Intermediate,"The banded biceps curl in squat position is an exercise targeting the biceps, although it also works the core and lower body."
Banded Hammer Press - Gethin Variation,力量训练,Biceps,弹力带,Intermediate,The machine chest press is an upper body exercise targeting the pectoral muscles.
Band standing concentration curl,力量训练,Biceps,弹力带,Intermediate,"The band standing concentration curl is a variation of a popular biceps-focused exercise utilizing a band instead of a dumbbell. It allows you to focus on one biceps at a time and really squeeze out intense peak contractions. Band concentration curls are usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of an upper-body or arm-focused workout."
Brachialis SMR,拉伸,Biceps,泡沫轴,Beginner,"Brachialis self-myofascial release (SMR) is a self-administered soft-tissue treatment for the upper body, usually using a foam roller, lacrosse ball, or other ""trigger point"" massage tool. By applying pressure strategically to the biceps or brachialis muscles of the upper arm, some people find they can cause this often painful and tight muscle to relax or ""release."" Brachialis SMR is often accompanied by SMR on the triceps muscles or pectorals, or by stretches that target the biceps or pecs."
Wide-grip barbell curl,力量训练,Biceps,杠铃,Beginner,"The wide-grip barbell curl is a variation of the classic barbell curl with the grip wider than shoulder width. It is thought that this helps build the inner or ""short"" head of the biceps muscles. This movement is usually performed for moderate to high reps, such as 8-12 reps per set."
EZ-bar spider curl,力量训练,Biceps,杠铃,Intermediate,"The EZ-bar spider curl is an exercise targeting the biceps and performed face down on either an incline bench or on the flat side of a preacher bench. The EZ-bar makes for a more comfortable wrist position, while the angle helps to isolate the biceps and limit involvement of the shoulder muscles. This curl variation is usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of upper-body or arm-focused training."
Barbell Curl,力量训练,Biceps,杠铃,Intermediate,"The barbell curl is an arm exercise that is also one of the most recognizable movements in all of bodybuilding and fitness. It helps build sleeve-popping biceps and allows heavier loading than many other curl variations. It is usually performed in moderate to high reps, such as 8-12 reps per set, as part of the arm-focused portion of any workout."
Close-grip EZ-bar curl,力量训练,Biceps,杠铃,Beginner,"The close-grip EZ-bar curl is an exercise targeting the biceps, particularly the long head. The main difference between this exercise and standard EZ-bar curls is that the hands are positioned closer together on the bar. It is thought that this helps build the outer biceps head and the peak. This curl variation is usually performed for moderate to high reps, such as 8-12 reps per set."
Preacher Curl,力量训练,Biceps,杠铃,Intermediate,"The EZ-bar preacher curl is a classic exercise for building bigger biceps. This move is all about isolation. With the back of the upper arms against the pad, it’s next to impossible to cheat. Go light, get a great pump, and build that peak!"
Barbell Curls Lying Against An Incline,力量训练,Biceps,杠铃,Beginner,
Seated Close-Grip Concentration Barbell Curl,力量训练,Biceps,杠铃,Beginner,
Close-grip barbell curl,力量训练,Biceps,杠铃,Beginner,"The close-grip barbell curl is a curl variation where the hands are closer than shoulder width. It is thought that this helps build the outer biceps head and the peak. This curl variation is usually performed for moderate to high reps, such as 8-12 reps per set."
Drag curl,力量训练,Biceps,杠铃,Beginner,"The drag curl is a biceps exercise that attempts to remove the influence of the front deltoids on the classic curl. With the elbows kept back, the barbell ""drags"" up the torso. It is usually performed for moderate to high reps, such as 8-15 reps per set, as part of an upper-body or arms-focused workout."
Reverse-grip barbell curl,力量训练,Biceps,杠铃,Intermediate,"The reverse-grip barbell curl is a variation on the biceps curl where the palms face downward. The switch from an underhand to an overhand grip brings the forearm and brachialis muscles more into the exercise. If it is uncomfortable to the wrists, try performing it on the angles of an EZ-curl bar."
Lying High Bench Barbell Curl,力量训练,Biceps,杠铃,Beginner,
Seated wide-grip curl to close-grip curl,力量训练,Biceps,杠铃,Beginner,"The seated wide-grip curl to close-grip curl is a variation on the classic seated dumbbell curl. It is thought that wide-grip curls target the inner head of the biceps more, while close-grip curls target the outer head or peak. This variation allows you to get the benefits of both."
Seated Straigh-Bar Curl Superset,力量训练,Biceps,杠铃,Beginner,"The seated wide-grip curl to close-grip curl is a variation on the classic seated dumbbell curl. The variation is that the range of motion changes in alternating fashion—one more traditional, one where you’re bringing the weight in more from the side."
Dave Draper Forehead Curl,力量训练,Biceps,杠铃,Intermediate,
Reverse-grip EZ-bar curl,力量训练,Biceps,杠铃,Intermediate,"The reverse-grip EZ-bar curl is an exercise targeting the biceps and forearms. Because grip strength is a limitation with this move, it is often performed for moderate to high reps as part of an upper-body or arm-focused workout."
EZ-Bar Spider Curl - Gethin Variation,力量训练,Biceps,杠铃,Intermediate,The EZ-bar spider curl is an isolation exercise targeting the biceps and performed face-down on an incline bench. The EZ-bar makes for a more comfortable wrist position.
Barbell curl-,力量训练,Biceps,杠铃,Intermediate,"The barbell curl is an arm exercise that is also one of the most recognizable movements in all of bodybuilding and fitness. It helps build sleeve-popping biceps and allows heavier loading than many other curl variations. It is usually performed in moderate to high reps, such as 8-12 reps per set, as part of the arm-focused portion of any workout."
Paul Carter Barbell Curl,力量训练,Biceps,杠铃,Intermediate,"The barbell curl is an arm exercise that is also one of the most recognizable movements in all of bodybuilding and fitness. It helps build sleeve-popping biceps and allows heavier loading than many other curl variations. It is usually performed in moderate to high reps, such as 8-12 reps per set, as part of the arm-focused portion of any workout."
Standing band biceps curl,力量训练,Biceps,杠铃,Intermediate,The standing band biceps curl is an arm-focused exercise using a band for resistance. This variation is usually performed for moderate to high reps as part of an arms-focused or upper-body workout.
Close-Grip EZ-Bar Curl - Gethin Variation,力量训练,Biceps,杠铃,Intermediate,"The close-grip EZ-bar curl is an exercise targeting the biceps, particularly the long head. The main difference between this exercise and standard barbell curls is that the hands are positioned closer together on the bar. It is thought that this helps build the outer biceps head and the peak. This curl variation is usually performed for moderate to high reps, like at least 8-12 reps per set."
Seated Barbell Curl,力量训练,Biceps,杠铃,Intermediate,
AM Standing Barbell Curl,力量训练,Biceps,杠铃,Intermediate,"The standing EZ-bar curl is an immenselyp popular exercise targeting the biceps. It is commonly performed for moderate to high reps as part of an upper body or arms-focused workout. Many gyms even have EZ-bars at fixed weights, allowing for easy weight changes."
EZ-bar preacher curl,力量训练,Biceps,杠铃,Intermediate,"The EZ-bar preacher curl is a classic exercise for building bigger biceps. This move is all about isolation. With the back of the upper arms against the pad, it's next to impossible to use momentum which forces the muscles to work harder."
30 Arms Standing Barbell Curl,力量训练,Biceps,杠铃,Intermediate,
30 Arms Incline Biceps Curl,力量训练,Biceps,杠铃,Intermediate,
"Bicep Curls ""21s""",力量训练,Biceps,杠铃,Intermediate,
Incline Hammer Curls,力量训练,Biceps,哑铃,Beginner,
Hammer Curls,力量训练,Biceps,哑铃,Intermediate,"This curl is performed simultaneously with dumbbells but without wrist supination. Throughout each rep, the wrists remain neutral, like a carpenter hammering a nail."
Biceps curl to shoulder press,力量训练,Biceps,哑铃,Beginner,"The biceps curl to shoulder press is a dumbbell complex that combines two exercises that build and strengthen the biceps and shoulders or deltoids. It is usually performed one rep of each movement at a time, although you could perform more reps of each, or increase the reps in successive rounds (e.g., 1 rep in round 1, 2 reps in round 2, etc.). No matter how you structure the sets and reps, it is a time-efficient way to hit two crucial upper-body muscles in any workout."
Concentration curl,力量训练,Biceps,哑铃,Intermediate,"The concentration curl is a classic exercise for building the biceps one arm at a time. It can be performed bent over or kneeling, but is more often performed seated on a bench. It's great for emphasizing the biceps peak and is often used to finish a biceps workout. Like most curl variations, these are usually performed for moderate to high reps, such as 8-12 reps per set or more."
Flexor Incline Dumbbell Curls,力量训练,Biceps,哑铃,Beginner,
Dumbbell Bicep Curl,力量训练,Biceps,哑铃,Intermediate,"The dumbbell biceps curl is a single-joint exercise for building bigger and stronger biceps. Popular among gym goers of all experience levels, this move can be done seated or standing. It is generally performed for moderate to high reps, such as 8-12 reps or higher, as part of the arm-focused portion of a workout."
Cross-body hammer curl,力量训练,Biceps,哑铃,Beginner,"The cross-body hammer curl is a dumbbell exercise that targets the biceps, brachialis, and forearm muscles. Rather than lifting the weights directly in front of the body, you lift them across the torso. Throughout each rep, the wrists remain neutral, like a carpenter hammering a nail. This helps isolate the brachialis muscles on each arm. It is generally performed for moderate to high reps, such as 8-12 reps or more, as part of the arm-focused portion of a workout."
Dumbbell Alternate Bicep Curl,力量训练,Biceps,哑铃,Intermediate,"The alternating biceps curl is a single-joint exercise for building bigger and stronger biceps one arm at a time. Popular among gym goers of all experience levels, this move can be done seated or standing. It is generally performed for moderate to high reps, such as 8-12 reps or higher, as part of the arm-focused portion of a workout."
Single-arm dumbbell preacher curl,力量训练,Biceps,哑铃,Intermediate,"The single-arm dumbbell preacher curl is an exercise that focuses on building the biceps, particularly the biceps peak. Most people will go light on this movement, performing it for moderate to high reps as part of an upper-body or arms-focused workout."
Alternate Incline Dumbbell Curl,力量训练,Biceps,哑铃,Intermediate,"The alternating incline dumbbell biceps curl is an exercise targeting the biceps and performed face up on an incline bench. This creates a vertical arm angle which helps to isolate the biceps and limit involvement of the shoulder muscles. This curl variation is usually performed for moderate to high reps, such as 8-12 rep per arm or more, as part of upper-body or arm-focused training."
Standing concentration curl,力量训练,Biceps,哑铃,Beginner,"The standing concentration curl is a variation on the more common seated concentration curl, which is a staple of bodybuilding arm routines. It can serve as a substitute for preacher curl variations if a preacher bench is unavailable and is also a classic way to focus in on the biceps peak. It is usually performed for moderate to high reps, such as 8-10 reps per set, with a focus on strict form and controlled tempo."
Alternating incline dumbbell biceps curl,力量训练,Biceps,哑铃,Intermediate,"The alternating incline dumbbell biceps curl is an exercise targeting the biceps and performed face up on an incline bench. This creates a vertical arm angle which helps to isolate the biceps and limit involvement of the shoulder muscles. This curl variation is usually performed for moderate to high reps, such as 8-12 rep per arm or more, as part of upper-body or arm-focused training."
Alternate Hammer Curl,力量训练,Biceps,哑铃,Intermediate,"The alternating hammer curl is performed with dumbbells but without wrist supination. Throughout each rep, the wrists remain neutral, like a carpenter hammering a nail."
Seated dumbbell biceps curl,力量训练,Biceps,哑铃,Intermediate,"The seated dumbbell biceps curl is a popular exercise for building bigger biceps. While curls can effectively be performed standing as well, performing them seated can enforce strict form and perhaps boost the mind-muscle connection. Like most curl variations, these are usually performed for moderate to high reps, such as 8-12 reps per set or more."
Preacher Hammer Dumbbell Curl,力量训练,Biceps,哑铃,Beginner,
Dumbbell preacher curl,力量训练,Biceps,哑铃,Intermediate,"The dumbbell preacher curl is an exercise that focuses on building the biceps, particularly the biceps peak. All you need is a pair of dumbbells and a preacher bench. It's usually performed for moderate to high reps as part of an upper-body or arms-focused workout."
Lying Supine Dumbbell Curl,力量训练,Biceps,哑铃,Beginner,
Standing Dumbbell Reverse Curl,力量训练,Biceps,哑铃,Beginner,"With the reverse-grip dumbbell curl, the palms face down, not up. This unorthodox wrist position simultaneously targets the biceps while also building forearm and grip strength. The move can performed standing or seated."
Palms-out incline biceps curl,力量训练,Biceps,哑铃,Beginner,"The palms-out incline biceps curl is an exercise targeting the biceps. It is largely similar to the incline dumbbell curl, but the palms-out position targets the long head of the biceps, which is responsible for the biceps ""peak."" This curl variation is usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of upper-body or arm-focused training."
Straight-arm plank with biceps curl,力量训练,Biceps,哑铃,Beginner,"The straight-arm plank with biceps curl is a hybrid movement that trains the abdominal and biceps muscles simultaneously. It can address multiple muscle groups in a time-efficient muscle-building or circuit-style workout, while also providing an additional cardiovascular challenge."
Face-down incline dumbbell biceps curl,力量训练,Biceps,哑铃,Beginner,"The face-down incline dumbbell biceps curl is an exercise targeting the biceps and performed face down on an incline bench. This creates a vertical arm angle, which helps to isolate the biceps and limit involvement of the shoulder muscles. This curl variation is usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of upper-body or arm-focused training."
Seated Dumbbell Inner Biceps Curl,力量训练,Biceps,哑铃,Beginner,
Standing Inner-Biceps Curl,力量训练,Biceps,哑铃,Beginner,
Seated hammer curl,力量训练,Biceps,哑铃,Intermediate,"The seated hammer curl is a popular exercise for building bigger biceps and forearms. The movement resembles hammering a nail—hence the name. While curls can effectively be performed standing as well, performing them seated can enforce strict form and perhaps boost the mind-muscle connection. Like most curl variations, these are usually performed for moderate to high reps, such as 8-12 reps per set or more."
Paul Carter Incline Dumbbell Biceps Curl,力量训练,Biceps,哑铃,Intermediate,The incline dumbbell biceps curl is an isolation exercise targeting the biceps. This variation targets the long head of the biceps more than a traditional curl and there is more overall tension to this muscle.
Paul Carter Concentration Curl,力量训练,Biceps,哑铃,Intermediate,"The concentration curl is a classic exercise for building the biceps one arm at a time. It can be performed bent over or kneeling, but is more often performed seated on a bench. It's great for emphasizing the biceps peak and is often used to finish a biceps workout. Like most curl variations, these are usually performed for moderate to high reps, such as 8-12 reps per set or more."
FYR Dumbbell Curl,力量训练,Biceps,哑铃,Intermediate,"The dumbbell biceps curl is a single-joint exercise for building bigger and stronger biceps. Popular among gym goers of all experience levels, this move can be done seated or standing. It is generally performed for moderate to high reps, such as 8-12 reps or higher, as part of the arm-focused portion of a workout."
Dumbbell biceps curl to upright row,力量训练,Biceps,哑铃,Intermediate,"The dumbbell biceps curl to upright row is a dumbbell complex that combines two exercises that build and strengthen the biceps, traps, and the middle head of the deltoids. It is usually performed one rep of each movement at a time, although you could perform more reps of each, or increase the reps in successive rounds (e.g., 1 rep in round 1, 2 reps in round 2, etc.). No matter how you structure the sets and reps, it is a time-efficient way to hit multiple upper-body muscles in any workout."
FYR Dumbbell Hammer Curl,力量训练,Biceps,哑铃,Intermediate,"This curl is performed simultaneously with dumbbells but without wrist supination. Throughout each rep, the wrists remain neutral, like a carpenter hammering a nail."
Dumbbell overhead hold with single-arm curl,力量训练,Biceps,哑铃,Intermediate,"The dumbbell overhead hold with single-arm curl combines an isometric overhead hold with a curl for the other arm. The two movements collectively target the muscles of the shoulders and arms, while providing a surprising core challenge. Expect to be challenged, even with light weight."
FYR Kneeling Biceps,力量训练,Biceps,哑铃,Intermediate,The kneeling concentration curl allows you to target the biceps without having the ability to use momentum from the rest of your body to move the weight.
Lunge hold dumbbell curl,力量训练,Biceps,哑铃,Intermediate,"The lunge hold dumbbell curl is a challenging complex that combines an isometric hold at the bottom of a lunge with a dumbbell biceps curl. The two exercises combine to target the legs, core, and biceps. The curl will determine the amount of weight you can use, but even a light weight will make the lunge hold seriously challenging."
FYR Dumbbell Biceps Curl,力量训练,Biceps,哑铃,Intermediate,"The dumbbell biceps curl is a single-joint exercise for building bigger and stronger biceps. Popular among gym goers of all experience levels, this move can be done seated or standing. It is generally performed for moderate to high reps, such as 8-12 reps or higher, as part of the arm-focused portion of a workout."
Alternating dumbbell snatch,力量训练,Biceps,哑铃,Intermediate,"The alternating dumbbell snatch is an explosive exercise that builds full-body power and targets the muscles of the hips, back, and shoulders. Performing it by alternating arms gives each arm the chance to recover, allowing you to do a greater amount of quality work. It can be performed for low reps with a focus on power and speed, or for higher reps to build muscle or as part of a metabolic conditioning circuit."
TBS Incline Dumbbell Curl,力量训练,Biceps,哑铃,Intermediate,The incline dumbbell biceps curl is an isolation exercise targeting the biceps. This variation targets the long head of the biceps more than a traditional curl and there is more overall tension to this muscle.
TBS Hammer Curl,力量训练,Biceps,哑铃,Intermediate,"The alternating hammer curl is performed with dumbbells but without wrist supination. Throughout each rep, the wrists remain neutral, like a carpenter hammering a nail."
Reverse-grip dumbbell curl,力量训练,Biceps,哑铃,Intermediate,"With the reverse-grip dumbbell curl, the palms face down, not up. This unorthodox wrist position simultaneously targets the biceps while also building forearm and grip strength. The move can be performed standing or seated. Because grip is a limiting factor, it is usually performed for moderate to high reps, such as 8-10 reps per set."
Incline Dumbbell Curl - Gethin Variation,力量训练,Biceps,哑铃,Intermediate,The incline dumbbell biceps curl is an isolation exercise targeting the biceps. This variation targets the long head of the biceps more than a traditional curl and there is more overall tension to this muscle.
Hammer curl,力量训练,Biceps,哑铃,Intermediate,"The hammer curl is a dumbbell movement that focuses on the biceps, brachialis, and forearm muscles. Throughout each rep, the wrists remain neutral, like a carpenter hammering a nail. It is generally performed for moderate to high reps, such as 8-12 reps or more, as part of the arm-focused portion of a workout."
Seated Dumbbell Curl - Gethin Variation,力量训练,Biceps,哑铃,Intermediate,"The seated dumbbell biceps curl is a standard exercise for building bigger biceps. While dumbbell biceps curls can be performed standing, this version involves sitting on a bench."
Dumbbell Hammer Curl - Gethin Variation,力量训练,Biceps,哑铃,Intermediate,"This curl is performed simultaneously with dumbbells but without wrist supination. Throughout each rep, the wrists remain neutral, like a carpenter hammering a nail."
Single-arm seated dumbbell curl,力量训练,Biceps,哑铃,Intermediate,"The single-arm seated dumbbell curl is a popular exercise for building bigger biceps. Performing it one arm at a time may allow you to use slightly heavier weight, while focusing on really feeling the mind-muscle connection in the working arm. Like most curl variations, these are usually performed for moderate to high reps, such as 8-12 reps per set or more."
Lying Cable Curl - Gethin Variation,力量训练,Biceps,哑铃,Intermediate,The lying cable biceps curl is an isolation exercise that eliminates the possibility of using momentum from the lower body to raise the weight.
Dumbbell biceps curl,力量训练,Biceps,哑铃,Intermediate,"The dumbbell biceps curl is a single-joint exercise for building bigger and stronger biceps. Popular among gym goers of all experience levels, this move can be done seated or standing. It is generally performed for moderate to high reps, such as 8-12 reps or higher, as part of the arm-focused portion of a workout."
Seated Biceps Hammer Curl,力量训练,Biceps,哑铃,Intermediate,
HM Alternating Reverse Lunge With Biceps Curl,力量训练,Biceps,哑铃,Intermediate,
AM Hammer Curls,力量训练,Biceps,哑铃,Intermediate,"This curl is performed simultaneously with dumbbells but without wrist supination. Throughout each rep, the wrists remain neutral, like a carpenter hammering a nail."
AM Seated Hammer Curls,力量训练,Biceps,哑铃,Intermediate,"The seated hammer curl is a popular exercise for building bigger biceps. The movement resembles hammering a nail—hence the name. While hammer can be performed standing, this version involves sitting on a bench."
Seated alternating biceps curl,力量训练,Biceps,哑铃,Intermediate,"The seated alternating biceps curl is an exercise that builds bigger and stronger biceps. The alternating technique allows one arm to rest briefly while the other arm lifts. It is usually performed for moderate to high reps, such as 8-12 reps or more, as part of the upper-body or arm-focused portion of a workout."
Alternating hammer curl,力量训练,Biceps,哑铃,Intermediate,"The alternating hammer curl is performed with dumbbells but without wrist supination. Throughout each rep, the wrists remain neutral, like a carpenter hammering a nail. It is generally performed for moderate to high reps, such as 8-12 reps or more, as part of the arm-focused portion of a workout."
Alternating biceps curl,力量训练,Biceps,哑铃,Intermediate,"The alternating biceps curl is a single-joint exercise for building bigger and stronger biceps one arm at a time. Popular among gym goers of all experience levels, this move can be done seated or standing. It is generally performed for moderate to high reps, such as 8-12 reps or higher, as part of the arm-focused portion of a workout."
Holman Slow Biceps Curl,力量训练,Biceps,哑铃,Intermediate,
Holman Biceps Curl to Chest Punch,力量训练,Biceps,哑铃,Intermediate,
Holman Right Arm Heavy Biceps Curl,力量训练,Biceps,哑铃,Intermediate,
Holman Left Arm Heavy Biceps Curl,力量训练,Biceps,哑铃,Intermediate,
Holman Alternating Front Lunge Biceps Curl,力量训练,Biceps,哑铃,Intermediate,
Holman Weighted Double-Time Biceps Curl,力量训练,Biceps,哑铃,Intermediate,
Holman Heavy Right Arm Biceps Curl,力量训练,Biceps,哑铃,Intermediate,
Holman Heavy Left Arm Biceps Curl,力量训练,Biceps,哑铃,Intermediate,
MetaBurn Dumbbell Drag Curl,力量训练,Biceps,哑铃,Intermediate,
MetaBurn Hammer Curl to Overhead Press,力量训练,Biceps,哑铃,Intermediate,
MetaBurn Biceps Curl To Lateral Raise,力量训练,Biceps,哑铃,Intermediate,
FYR2 Alternating Dumbbell Curl,力量训练,Biceps,哑铃,Intermediate,
FYR2 Pulse Biceps Curl,力量训练,Biceps,哑铃,Intermediate,
FYR2 Seesaw Dumbbell Biceps Curl,力量训练,Biceps,哑铃,Intermediate,
FYR2 Single-Dumbbell Biceps Curl,力量训练,Biceps,哑铃,Intermediate,
FYR2 Dumbbell Curl-Row Complex,力量训练,Biceps,哑铃,Intermediate,
30 Arms Standing Dumbbell Hammer Curl 21s,力量训练,Biceps,哑铃,Intermediate,
30 Arms Standing Biceps Curl,力量训练,Biceps,哑铃,Intermediate,
30 Arms Standing Alternating Hammer Curl,力量训练,Biceps,哑铃,Intermediate,
30 Arms Standing Alternating Biceps Curl,力量训练,Biceps,哑铃,Intermediate,
30 Arms Single-Arm Hammer Preacher Curl,力量训练,Biceps,哑铃,Intermediate,
30 Arms Single-Arm Dumbbell Preacher Curl,力量训练,Biceps,哑铃,Intermediate,
30 Arms Seated Dumbbell Concentration Curl,力量训练,Biceps,哑铃,Intermediate,
30 Arms Seated Biceps Curl,力量训练,Biceps,哑铃,Intermediate,
30 Arms Seated Alternating Biceps Curl,力量训练,Biceps,哑铃,Intermediate,
30 Arms Incline Hammer Curl,力量训练,Biceps,哑铃,Intermediate,
30 Arms Incline Dumbbell Triceps Extension,力量训练,Biceps,哑铃,Intermediate,
30 Arms Hammer Curl,力量训练,Biceps,哑铃,Intermediate,
Reverse Plate Curls,力量训练,Biceps,其他,Beginner,
Standing Biceps Stretch,拉伸,Biceps,其他,Beginner,
Suspended Curl,力量训练,Biceps,其他,Beginner,
Plate hammer curl,力量训练,Biceps,其他,Beginner,"The plate hammer curl is an exercise that targets the long head of the biceps as well as the brachialis and brachioradialis muscles. Typically hammer curls are done with dumbbells, but in this case, holding a weight plate places the hands in the same neutral position."
Barbell spider curl,力量训练,Biceps,其他,Intermediate,"The barbell spider curl is an exercise targeting the biceps and performed face down on either an incline bench or on the flat side of a preacher bench. The vertical bench angle helps to isolate the biceps and limit involvement of the shoulder muscles. This curl variation is usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of upper-body or arm-focused training."
Barbell forehead curl,力量训练,Biceps,其他,Intermediate,"The barbell forehead curl is a classic movement from the Golden Age of bodybuilding and is often associated with Dave ""The Blond Bomber"" Draper. The barbell is brought up to your forehead instead of to your chest, emphasizing the squeeze and peak contraction. It is usually performed for moderate to high reps, such as 8-12 reps per set."
Overhead cable curl,力量训练,Biceps,拉力器,Intermediate,"Also known as a crucifix curl, the overhead cable curl is a biceps-focused exercise performed between two cable stacks, using a pair of D-handles. The arms and elbows are held at shoulder height throughout the movement, and both hands curl in toward the ears. This position is designed to eliminate shoulder involvement and momentum, while targeting the biceps peak. This movement is generally done for moderate to high reps, such as 8-12 reps per set or more, as part of arm-focused training."
Standing One-Arm Cable Curl,力量训练,Biceps,拉力器,Beginner,The single-arm cable biceps curl is a single-joint isolation exercise for building the biceps. This move is intended to be strict and deliberate; this is not an exercise for using momentum or otherwise cheating.
Reverse Cable Curl,力量训练,Biceps,拉力器,Beginner,
Standing Biceps Cable Curl,力量训练,Biceps,拉力器,Intermediate,"The cable straight-bar biceps curl takes a classic bodybuilding exercise, the standing barbell curl, and replaces the barbell with a handle attached to a cable. This is a common burnout move performed for moderate to high reps, such as 8-12 reps per set, as part of an upper-body or arm-focused workout."
Cable rope hammer curl,力量训练,Biceps,拉力器,Intermediate,"The cable rope hammer curl is a popular arm-focused exercise performed with a rope handle attached by a cable to a weight stack. It uses a neutral (palms facing one another) grip, which targets the forearms and brachialis muscles in addition to the biceps. Because grip is a limitation, it is usually performed for moderate to high reps, such as 8-12 reps per set or more."
Lying cable biceps curl,力量训练,Biceps,拉力器,Beginner,"The lying cable biceps curl is a cable exercise that targets the biceps. It is performed lying on the back, either on a bench or the ground, with the feet facing toward a cable stack. This movement is usually performed for moderate to high reps for a burn and pump as part of an arm-focused workout."
Cable rope preacher hammer curl,力量训练,Biceps,拉力器,Beginner,"The cable rope preacher hammer curl is a single-joint arm exercise that builds strength and size in the biceps using a cable stack, a preacher bench, and a rope grip. The neutral or ""hammer"" grip amplifies activation of both the grip and the brachialis muscles, building arm thickness. The angle of the bench also effectively removes the shoulders from the movement, largely isolating the biceps. It is generally performed for higher reps, at least 8-15 per set."
Lying Close-Grip Bar Curl On High Pulley,力量训练,Biceps,拉力器,Beginner,The lying high-cable biceps curl is an unusual move for building the biceps—but it’s a highly effective one. Lying prone and curling down toward you provides a different stimulus than more standard approaches allow.
Cable EZ-Bar Preacher Curl - Gethin Variation,力量训练,Biceps,拉力器,Intermediate,"The cable preacher curl is a single-joint arm exercise that builds strength and size in the biceps using a cable stack and a preacher bench. It is popular in muscle-building arm workouts because the angle of the bench effectively removes the shoulders from the movement, largely isolating the biceps. It is generally performed for higher reps, at least 8-15 per set."
